id|nombre|precio|cantidad|presentacion|descripcion
1|Paracetamol 500mg|50|200|Caja con 20 tabletas de 500mg|El paracetamol es eficaz para dolor y fiebre.
2|Ibuprofeno 400mg|35|150|Caja con 30 tabletas de 400mg|Antiinflamatorio y analgésico para dolor muscular y articular.
3|Amoxicilina 500mg|120|80|Caja con 12 cápsulas de 500mg|Antibiótico para infecciones bacterianas comunes.
4|Omeprazol 20mg|80|100|Caja con 14 cápsulas de 20mg|Reduce la acidez estomacal y protege la mucosa gástrica.
5|Loratadina 10mg|45|250|Caja con 20 tabletas de 10mg|Antihistamínico para alergias y rinitis.
6|Metformina 850mg|90|300|Caja con 30 tabletas de 850mg|Tratamiento para diabetes tipo 2.
7|Losartán 50mg|110|120|Caja con 15 tabletas de 50mg|Antihipertensivo para control de presión arterial.
8|Ácido Fólico 5mg|30|500|Caja con 20 tabletas de 5mg|Suplemento para embarazo y anemia megaloblástica.
9|Vitamina C 1g|55|400|Caja con 10 tabletas efervescentes de 1g|Refuerza el sistema inmune y antioxidante.
10|Diclofenaco 50mg|40|180|Caja con 20 tabletas de 50mg|Antiinflamatorio para dolor agudo y crónico.
